StartDate,EndValue,LongValue,N_Buys,N_Sells,N,Threshold
2021-04-09 05:00:00+00:00,1349463.8000000005,154384.0,34,34,5,5
2021-04-14 05:00:00+00:00,1299876.7,130920.4,33,33,5,5
2021-04-19 05:00:00+00:00,1287977.2000000002,133316.4,33,33,5,5
2021-04-24 05:00:00+00:00,1171752.2,127765.09999999999,35,34,5,5
2021-04-29 05:00:00+00:00,930470.0,108421.2,34,34,5,5
2021-05-04 05:00:00+00:00,803195.6999999998,83818.0,34,34,5,5
2021-05-09 05:00:00+00:00,845566.7999999998,64080.00000000001,34,34,5,5
2021-05-14 05:00:00+00:00,845566.7999999998,53683.6,34,34,5,5
2021-05-19 05:00:00+00:00,852103.2,66731.0,35,35,5,5
2021-05-24 05:00:00+00:00,833381.5000000001,93904.1,35,34,5,5
2021-05-29 05:00:00+00:00,804191.6,71780.0,35,35,5,5
2021-06-03 05:00:00+00:00,775737.5000000001,65630.80000000002,35,35,5,5
2021-06-08 05:00:00+00:00,785003.7000000002,72480.0,36,35,5,5
2021-06-13 05:00:00+00:00,798097.2000000002,58449.399999999994,35,35,5,5
2021-06-18 05:00:00+00:00,798097.2000000002,46403.799999999996,35,35,5,5
2021-06-23 05:00:00+00:00,814702.8000000003,54685.0,36,35,5,5
2021-06-28 05:00:00+00:00,817709.8000000002,60124.99999999999,36,35,5,5
2021-07-03 05:00:00+00:00,775021.7000000001,51010.0,35,35,5,5
2021-07-08 05:00:00+00:00,921066.2000000001,56118.8,36,35,5,5
2021-07-13 05:00:00+00:00,837462.0,52401.40000000001,35,35,5,5
2021-07-18 05:00:00+00:00,1023932.6000000001,71570.0,36,35,5,5
2021-07-23 05:00:00+00:00,1040247.3999999999,76369.59999999998,36,35,5,5
2021-07-28 05:00:00+00:00,1023414.3999999998,72015.59999999999,38,36,5,5
2021-08-02 05:00:00+00:00,911233.5000000002,62091.999999999985,38,37,5,5
2021-08-07 05:00:00+00:00,863375.3999999999,57670.9,38,37,5,5
2021-08-12 05:00:00+00:00,962092.7999999996,60214.6,37,36,5,5
2021-08-17 05:00:00+00:00,944005.9000000001,59709.30000000001,37,37,5,5
2021-08-22 05:00:00+00:00,920726.2,50782.0,36,36,5,5
2021-08-27 05:00:00+00:00,891695.3999999999,48444.799999999996,37,37,5,5
2021-09-01 05:00:00+00:00,777241.7999999997,46475.200000000004,38,37,5,5
2021-09-06 05:00:00+00:00,815465.6999999998,43150.0,38,37,5,5
2021-09-11 05:00:00+00:00,785729.0000000002,54547.0,38,37,5,5
2021-09-16 05:00:00+00:00,801045.4000000001,41061.7,37,37,5,5
2021-09-21 05:00:00+00:00,841503.8999999999,45738.10000000001,36,36,5,5
2021-09-26 05:00:00+00:00,824774.8999999999,45543.5,36,35,5,5
2021-10-01 05:00:00+00:00,714470.7000000002,44814.10000000001,35,35,5,5
2021-10-06 05:00:00+00:00,718185.2999999998,41281.2,35,34,5,5
2021-10-11 05:00:00+00:00,634409.5999999999,37111.99999999999,35,35,5,5
2021-10-16 05:00:00+00:00,566104.7000000003,33634.99999999999,36,35,5,5
2021-10-21 05:00:00+00:00,567025.7,30932.800000000014,35,35,5,5
2021-10-26 05:00:00+00:00,574770.5000000001,37157.09999999999,35,34,5,5
2021-10-31 05:00:00+00:00,615521.9000000001,38818.00000000001,34,33,5,5
2020-04-05 05:00:00+00:00,1313590.2799999998,1468448.0499999998,17,17,5,10
2020-05-25 05:00:00+00:00,1350499.8799999997,1212571.63,18,18,5,10
2020-05-30 05:00:00+00:00,1417111.0799999996,1195418.08,19,18,5,10
2020-06-04 05:00:00+00:00,1423408.6799999995,1025526.0999999999,19,19,5,10
2020-06-09 05:00:00+00:00,1423408.6799999995,968629.96,19,19,5,10
2020-06-14 05:00:00+00:00,1386522.0799999996,1005305.25,20,20,5,10
2020-06-19 05:00:00+00:00,1386522.0799999996,873201.5800000001,20,20,5,10
2020-06-24 05:00:00+00:00,1386522.0799999996,795787.5599999999,20,20,5,10
2020-06-29 05:00:00+00:00,1495286.4799999995,951899.0999999999,21,20,5,10
2020-07-04 05:00:00+00:00,1568821.2799999998,989633.71,21,20,5,10
2020-07-09 05:00:00+00:00,1573085.1799999997,825134.32,21,21,5,10
2020-07-14 05:00:00+00:00,1573085.1799999997,829997.8,21,21,5,10
2020-07-19 05:00:00+00:00,1644264.1799999997,885722.92,22,21,5,10
2020-07-24 05:00:00+00:00,1266294.1300000004,846937.5,22,21,5,10
2020-07-29 05:00:00+00:00,1390415.1600000001,795416.8,22,21,5,10
2020-08-03 05:00:00+00:00,1488963.18,754865.5,23,21,5,10
2020-08-09 05:00:00+00:00,1597661.4799999997,803661.3099999999,23,21,5,10
2020-08-14 05:00:00+00:00,1609572.96,756212.1599999999,22,21,5,10
2020-08-19 05:00:00+00:00,1621089.3599999999,789320.53,23,22,5,10
2020-08-27 05:00:00+00:00,1556474.0199999996,784190.43,23,23,5,10
2020-09-01 05:00:00+00:00,1999425.5799999991,760961.4,23,22,5,10
2020-09-06 05:00:00+00:00,2268773.579999999,1228361.8699999999,23,22,5,10
2020-09-11 05:00:00+00:00,2444318.6399999997,906839.4,22,22,5,10
2020-09-16 05:00:00+00:00,2721309.6399999997,1004420.0,23,22,5,10
2020-09-21 05:00:00+00:00,2593095.1399999997,792856.99,23,23,5,10
2020-09-26 05:00:00+00:00,2466861.039999999,806897.2100000001,24,24,5,10
2020-10-01 05:00:00+00:00,2562656.739999999,845196.2800000001,25,25,5,10
2020-10-06 05:00:00+00:00,2968172.939999999,990995.5,26,25,5,10
2020-10-11 05:00:00+00:00,3004766.639999999,932720.1,26,25,5,10
2020-10-16 05:00:00+00:00,3287835.039999999,1036376.2,27,26,5,10
2020-10-21 05:00:00+00:00,3403722.6999999993,1092723.2400000002,27,26,5,10
2020-10-26 05:00:00+00:00,3434649.099999999,1044083.92,27,26,5,10
2020-10-31 05:00:00+00:00,3568636.299999999,1115193.25,27,26,5,10
2020-11-05 06:00:00+00:00,3195520.1999999993,1121097.9999999998,28,27,5,10
2020-11-10 06:00:00+00:00,3310905.8,1048735.66,28,27,5,10
